gid,year,barren_ih,capdist,forest_ih,gwno
49182,2010,,2480.495,,155
49183,2010,,2482.505,,155
49184,2010,,2485.117,,155
49185,2010,,2488.327,,155
49186,2010,100,2492.133,0,155
49898,2010,,2422.83,,155
49899,2010,,2422.414,,155
49900,2010,,2422.622,,155
49901,2010,99.99,2423.455,0,155
49902,2010,99.95,2424.913,0,155
49903,2010,99.97,2426.993,0,155
49904,2010,99.82,2429.696,0,155
49905,2010,100,2433.017,0,155
49906,2010,100,2436.955,0,155
49907,2010,99.99,2441.506,0,155
49908,2010,,2446.667,,155
50616,2010,,2369.986,,155
50617,2010,,2368.262,,155
50618,2010,99.83,2367.184,0,155
50619,2010,57.12,2366.752,0,155
50620,2010,70.33,2366.968,0,155
50621,2010,75.2,2367.83,0,155
50622,2010,79.81,2369.339,0,155
50623,2010,76.32,2371.493,0,155
50624,2010,46.92,2360.654,0,160
50625,2010,51.21,2348.736,0,160
50626,2010,46.79,2337.398,0,160
50627,2010,52.36,2326.65,0,160
50628,2010,50.68,2316.499,0,160
50629,2010,83.96,2306.955,0,160
50630,2010,,2298.024,,160
50631,2010,,2289.715,,160
50632,2010,,2282.034,,160
50633,2010,,2274.989,,160
51078,2010,,2285.228,,900
51334,2010,,2320.013,,155
51335,2010,,2316.896,,155
51336,2010,99.81,2314.444,0,155
51337,2010,99.67,2312.658,0,155
51338,2010,99.6,2311.542,0,155
51339,2010,52.61,2311.095,0,155
51340,2010,46.92,2311.319,0,155
51341,2010,35.31,2312.212,0,155
51342,2010,59.53,2313.774,0,155
51343,2010,76.04,2316.004,0,155
51344,2010,55.76,2309.242,0,160
51345,2010,36.56,2296.92,0,160
51346,2010,27.95,2285.195,0,160
51347,2010,15.68,2274.075,0,160
51348,2010,,2263.572,,160
51798,2010,,2233.983,,900
52053,2010,,2268.594,,155
52054,2010,99.38,2264.68,0,155
52055,2010,66.41,2261.451,0,155
52056,2010,54.7,2258.912,0,155
52057,2010,51.85,2257.063,0,155
52058,2010,42.98,2255.906,0,155
52059,2010,21.24,2255.443,0,155
52060,2010,,2255.675,,155
52061,2010,0,2256.6,0,155
52062,2010,0,2258.218,0,155
52063,2010,0,2260.528,0,155
52064,2010,0,2258.028,0,160
52065,2010,0,2245.285,0,160
52066,2010,,2233.155,,160
52772,2010,,2218.183,,155
52773,2010,,2213.422,,155
52774,2010,99.67,2209.367,0,155
52775,2010,57.94,2206.022,0,155
52776,2010,22.4,2203.39,0,155
52777,2010,0,2201.474,0,155
52778,2010,0,2200.275,0,155
52779,2010,,2199.796,,155
52780,2010,0,2200.035,0,155
52781,2010,0,2200.994,0,155
52782,2010,0,2202.672,0,155
52783,2010,0,2205.065,0,155
52784,2010,0,2207.023,0,160
53491,2010,,2168.872,,155
53492,2010,,2163.212,,155
53493,2010,2.77,2158.279,0,155
53494,2010,46.75,2154.076,0,155
53495,2010,9.56,2150.608,0,155
53496,2010,0,2147.879,0,155
53497,2010,0,2145.893,0,155
53498,2010,0,2144.65,0,155
53499,2010,0,2144.153,0,155
53500,2010,0,2144.402,0,155
53501,2010,0,2145.396,0,155
53502,2010,0,2147.135,0,155
53503,2010,0,2149.616,0,155
53504,2010,,2156.243,,160
53979,2010,,1339.601,,920
54210,2010,,2120.759,,155
54211,2010,42.65,2114.147,0,155
54212,2010,0,2108.28,0,155
54213,2010,0,2103.165,0,155
54214,2010,0,2098.807,0,155
54215,2010,0,2095.21,0,155
54216,2010,0,2092.38,0,155
54217,2010,0,2090.32,0,155
54218,2010,0,2089.031,0,155
54219,2010,0,2088.515,0,155
54220,2010,0,2088.773,0,155
54221,2010,0,2089.804,0,155
54222,2010,0,2135.875,0,160
54223,2010,0,2120.47,0,160
54224,2010,,2105.703,,160
54699,2010,,1287.583,,920
54930,2010,,2066.331,,155
54931,2010,,2059.475,,155
54932,2010,,2053.39,,155
54933,2010,0,2048.083,0,155
54934,2010,28.38,2043.562,16.52,155
54935,2010,0,2039.83,0,155
54936,2010,0,2036.893,0,155
54937,2010,0,2175.562,0,160
54938,2010,0,2156.596,0,160
54939,2010,0,2138.205,0,160
54940,2010,0,2120.404,0,160
54941,2010,0,2103.21,0,160
54942,2010,0,2086.638,0,160
54943,2010,,2070.703,,160
55650,2010,,2011.971,,155
55651,2010,0,2004.858,0,155
55652,2010,0,1998.543,0,155
55653,2010,17.94,1993.036,0,155
55654,2010,41.9,1988.342,19.94,155
55655,2010,0,1984.468,10.27,155
55656,2010,0,2149.741,1.81,160
55657,2010,0,2129.595,6.83,160
55658,2010,0,2110.018,0,160
55659,2010,0,2091.025,0,160
55660,2010,0,2072.633,0,160
55661,2010,0,2054.86,0,160
